鄉鎮市區,交易標的,土地區段位置-建物區段門牌,土地移轉總面積-平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,屋齡,建物移轉總面積-平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價-元,單價-每平方公尺,車位類別,車位移轉總面積-平方公尺,車位總價-元,備註,地所狀態
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,20.92,住,,,10807,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,162.27,3,1,2,有,無,9900000,64178,坡道平面,26.71,1200000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,20.92,住,,,10810,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,162.27,3,1,2,有,無,10000000,64178,坡道平面,26.71,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,14.88,商,,,10906,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,163.43,3,2,2,有,無,10120000,64254,坡道平面,26.94,1350000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,文北段121~150地號,18.46,住,,,10712,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,126.27,2,2,1,有,無,6940000,64256,坡道平面,36.94,1200000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段271~300地號,15.77,商,,,10904,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,171.65,3,2,2,有,無,10600000,64266,坡道平面,26.94,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,20.92,住,,,10808,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,162.27,3,1,2,有,無,9920000,64326,坡道平面,26.71,1200000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.01,商,,,10807,四層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,113.23,2,2,1,有,無,7080000,64331,坡道平面,24.16,1350000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,文北段121~150地號,24.75,住,,,10712,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,155.8,3,2,2,有,無,8950000,64361,坡道平面,36.94,1300000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.01,商,,,10808,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,113.23,2,2,1,有,無,7090000,64444,坡道平面,24.16,1350000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.01,商,,,10809,七層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,113.23,2,2,1,有,無,7140000,64444,坡道平面,24.16,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段241~270地號,13.01,商,,,10808,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,113.23,2,2,1,有,無,7140000,64444,坡道平面,24.16,1400000,,2(資料揭露)
北屯區,房地(土地+建物)+車位,碧柳段1~30地號,19.06,住,,,10808,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,0,150.84,3,1,2,有,無,9200000,64449,坡道平面,26.71,1200000,聯名購買:蔡寶鳳 N221208920,2(資料揭露)
